C91	C92	C93
366	410	320
244	219	168
499	608	506
0	0	0
534	638	528
111	135	91
83	103	62
2425	2663	2932
310	419	303
0	0	0
241	352	276
763	1101	898
341	614	494
1746	1991	1600
201	308	265
1019	1424	1047
602	715	550
0	0	2
411	343	272
85	45	92
0	1	0
529	761	679
0	0	0
355	235	226
13	10	6
261	388	239
0	0	0
0	0	0
0	0	0
478	315	276
203	204	182
220	186	173
61	13	181
316	681	577
7	3	11
341	924	741
129	78	78
352	556	395
122	155	115
129	236	242
22	10	15
1237	1372	1249
122	166	86
659	773	651
227	220	201
2	0	6
47	39	25
79	44	93
120	73	281
552	673	568
412	352	261
137	135	137
1	0	0
11131	7873	7365
330	431	329
264	379	308
129	84	241
0	0	0
0	0	0
267	259	321
450	386	335
170	330	188
1	0	0
921	1132	907
0	0	0
256	237	179
2487	3212	2566
169	167	132
0	0	3
11	5	19
3	2	4
718	644	648
3	4	5
0	1	0
303	303	248
0	0	0
22	24	20
59	28	17
9	7	11
20	22	14
931	876	758
0	0	2
7	7	15
142	184	174
46	39	18
2	2	1
337	326	304
974	1082	953
156	371	294
0	0	0
0	0	0
0	0	0
66	46	65
29	41	30
3097	2875	2609
587	415	401
37	17	31
85	62	53
9	2	2
1664	1583	1408
76	79	67
0	0	0
4239	4331	3265
13	18	14
570	647	435
0	2	3
1	3	2
0	0	0
0	0	0
1079	1271	856
12	7	25
985	830	721
411	492	501
856	1007	642
1941	2586	1968
64	36	27
0	0	0
0	0	0
94	75	77
210	391	265
287	331	194
0	0	0
1443	917	881
0	0	2
213	160	165
2579	2817	2087
156	117	165
1120	972	850
350	543	491
361	716	401
0	0	0
3	0	2
237	314	201
1126	939	792
820	917	717
0	0	0
619	596	474
0	0	0
2	0	0
0	0	0
586	774	629
165	90	107
1931	1266	1324
144	110	110
223	184	152
5	5	8
0	0	0
3	6	3
0	0	0
658	681	539
408	416	331
0	0	0
221	660	292
1	1	1
3	8	1
327	357	305
95	76	59
0	0	0
0	0	0
35	27	44
652	940	712
501	643	542
1983	2316	1863
7	4	45
1659	2476	2112
263	208	272
7	0	3
1	2	1
77	42	60
177	181	172
11	6	11
58	21	130
5	5	1
1146	951	884
5627	7515	5966
107	83	65
145	89	94
423	449	276
827	846	736
202	155	133
33	6	69
1667	1661	1561
1141	1308	1021
1206	692	1218
84	88	77
2	3	2
42	50	37
2134	2065	1730
836	1145	924
0	0	0
595	644	566
3245	3703	2668
8	8	15
223	206	180
1159	1770	1474
0	0	0
0	0	0
329	427	356
3	0	6
525	337	323
152	170	173
789	502	439
0	0	0
325	386	329
317	354	253
297	197	163
328	338	292
2728	2750	2558
67	32	52
0	1	4
191	222	175
3	0	5
376	441	391
0	0	0
390	299	254
1	7	0
0	0	0
0	0	0
0	0	0
0	0	1
12	48	28
29	26	17
13	26	11
0	0	0
476	463	344
1405	2442	1888
0	0	0
0	0	0
12270	10561	10827
2	4	1
144	141	106
160	173	137
80	60	61
0	0	0
112	114	151
0	0	0
2579	4724	3332
3894	5136	4386
0	0	0
0	0	0
106	71	57
0	0	0
2	8	3
1163	1548	1249
42	64	48
191	325	230
783	648	598
0	0	0
185	79	588
1	0	2
6	4	9
8	3	3
0	0	3
0	0	0
477	561	459
45	37	32
623	878	685
27	34	31
91	151	95
10	12	8
693	598	435
525	699	457
4780	3416	3062
754	638	533
2457	2735	2488
13	10	11
20	12	24
237	264	191
126	10	259
0	0	0
382	227	200
542	575	546
275	293	246
50	29	24
2	0	1
148	112	93
343	256	241
473	620	589
58	44	36
225	161	333
29	39	24
0	0	0
85	148	70
0	0	0
38	47	53
36	52	50
95	226	91
63	116	64
276	396	354
3173	5034	4198
544	439	368
725	936	869
151	161	141
2	6	1
0	0	0
1	7	9
1130	1596	1278
224	275	211
56	12	112
1011	1116	930
190	178	134
0	0	0
346	318	281
234	240	202
301	252	392
179	110	110
319	263	201
1420	1309	1138
7	15	14
197	308	271
0	0	0
271	495	436
1882	1123	1118
3	2	4
12	34	14
62	68	40
65	205	173
36	30	17
0	0	0
751	795	612
1221	1156	936
74	62	66
0	0	0
30	26	14
27	35	24
146	138	195
0	0	0
150	236	216
0	0	0
21	28	19
510	433	388
97	128	88
340	446	302
1283	1330	1052
0	1	0
378	351	288
20	22	33
1182	897	861
383	257	250
0	0	0
0	0	0
10	10	10
115	101	88
209	309	239
518	484	411
166	130	106
1088	1220	1082
0	0	0
1049	1333	1106
795	604	1356
3	0	2
4	4	22
0	0	0
476	347	339
40	41	45
0	0	0
0	0	0
2	5	0
85	75	112
83	60	89
348	376	286
971	1025	879
40	40	38
0	0	0
13	17	23
45	37	30
56	20	21
541	796	647
60	60	60
1272	1705	1496
740	503	438
1175	1205	1524
1632	2188	1730
1	0	1
461	422	332
30	16	9
0	0	0
89	97	100
1139	937	762
290	407	331
0	0	0
0	0	0
0	0	0
7	1	13
367	410	385
0	0	0
0	0	0
0	0	0
62	83	71
48	61	45
127	137	105
0	1	0
391	425	477
200	364	350
2	2	1
6	2	1
338	358	300
827	1195	1046
193	268	247
137	58	216
911	893	714
566	682	589
654	639	498
0	1	0
194	131	219
0	0	0
262	311	264
45	48	36
0	0	0
294	299	240
298	217	285
139	69	47
760	992	820
84	48	143
2304	3106	2428
915	712	1326
56	44	41
80	99	100
14	9	5
13	37	26
69	56	50
23	39	30
15	27	25
140	174	170
600	668	544
185	188	119
1916	2149	1990
146	276	195
1	5	1
169	163	142
389	907	713
6	30	21
214	197	200
659	707	726
0	0	0
1114	1011	1034
25	12	13
17	8	17
0	0	0
127	141	118
0	0	0
4	2	11
409	451	333
616	745	614
412	524	422
164	188	149
52	38	37
1396	1244	1187
57	45	45
115	129	86
1134	1540	1322
166	145	139
300	316	206
512	549	409
2	2	0
0	0	0
911	958	774
140	94	101
0	0	0
955	1092	898
176	222	173
9	0	7
8	17	11
1	1	0
1024	1321	1259
48	34	33
90	90	93
68	67	81
68	57	47
0	0	0
0	0	0
567	670	569
650	492	401
4	3	7
12	3	3
1722	1916	1477
436	519	421
3	8	12
2035	2378	2141
2	0	0
126	77	75
0	0	0
0	0	1
484	534	363
0	0	0
186	292	198
132	145	143
0	0	0
0	0	1
0	0	0
0	0	0
33	23	20
0	0	0
137	60	301
103	77	85
0	0	0
1211	1790	1375
4	8	5
30	39	38
0	0	0
3317	2308	2201
1217	1207	931
0	0	0
72	40	37
0	0	0
206	183	150
123	175	166
90	113	86
26	38	38
165	295	207
584	637	534
0	0	0
0	1	0
1	0	0
0	0	0
129	135	130
0	0	0
191	158	153
0	0	0
0	0	0
173	117	246
2114	1858	1786
0	0	0
0	0	0
44	41	38
8307	5727	5604
129	56	58
32	52	112
0	0	0
0	0	0
318	400	428
794	1078	851
1240	1908	1396
39	35	61
40	62	47
446	527	368
0	0	0
4	1	1
68	100	55
1181	1402	1162
0	0	0
0	0	0
6	13	3
471	276	369
1050	1318	1069
25	22	16
3567	6733	4874
5	16	9
44	72	96
115	124	126
0	0	0
14	30	15
268	496	459
