C61	C62
AT1G07450	1	9
AT1G07460	0	0
AT1G07470	391	273
AT1G04577	0	0
AT1G07473	0	2
AT1G04583	3	0
AT1G07476	0	0
AT1G07480	301	229
AT1G04587	2	0
AT1G07485	4	2
AT1G07490	7	9
AT1G07510	1006	866
AT1G07500	141	149
AT1G07520	463	420
AT1G07530	845	793
AT1G07540	0	0
AT1G04593	0	0
AT1G07550	59	67
AT1G07560	291	269
AT1G07570	181	201
AT1G04597	0	0
AT1G07580	0	0
AT1G07590	7372	7527
AT1G07600	0	0
AT1G04603	0	0
AT1G07610	3534	3556
AT1G07615	181	110
AT1G07620	67	62
AT1G04607	0	0
AT1G07630	783	672
AT1G07640	377	307
AT1G07650	688	496
AT1G07645	1	0
AT1G07660	316	195
AT1G07670	2436	1924
AT1G07680	2	4
AT1G07690	2	3
AT1G07700	345	360
AT1G07705	344	237
AT1G07702	0	0
AT1G07710	57	37
AT1G07720	36	106
AT1G04623	0	0
AT1G07725	3	2
AT1G07728	247	220
AT1G07740	37	20
AT1G07730	0	0
AT1G07745	62	29
AT1G07747	0	0
AT1G07750	1282	1160
AT1G07760	0	0
AT1G07770	4732	3293
AT1G07780	120	96
AT1G07790	658	468
AT1G07795	17	22
AT1G07810	1318	1089
AT1G07820	1326	845
AT1G07830	472	279
AT1G07840	303	184
AT1G07850	0	3
AT1G07870	441	385
AT1G07860	0	0
AT1G07880	63	41
AT1G07885	0	0
AT1G07890	17532	15880
AT1G07900	0	2
AT1G07902	75	61
AT1G07901	0	0
AT1G07910	350	207
AT1G07920	5881	4566
AT1G07930	7802	5453
AT1G07940	4984	3968
AT1G07950	325	238
AT1G07960	651	531
AT1G07970	318	228
AT1G07980	216	192
AT1G07985	9	4
AT1G07990	1141	1019
AT1G08000	122	106
AT1G08005	0	1
AT1G08010	301	247
AT1G08030	387	252
AT1G08035	3	0
AT1G08040	454	353
AT1G08050	222	239
AT1G08060	427	343
AT1G08065	0	0
AT1G08070	21	10
AT1G08080	0	0
AT1G08090	27	51
AT1G08100	3	2
AT1G08110	1114	801
AT1G08115	30	20
AT1G08120	0	1
AT1G04643	0	0
AT1G08125	296	181
AT1G08130	500	366
AT1G08135	0	0
AT1G08140	0	0
AT1G08150	0	1
AT1G08160	470	353
AT1G08165	0	0
AT1G08170	0	0
AT1G08180	98	87
AT1G08190	3506	2929
AT1G08200	4182	3364
AT1G08210	221	163
AT1G08220	142	95
AT1G08230	65	61
AT1G08240	0	0
AT1G08250	445	536
AT1G08260	445	245
AT1G08270	20	16
AT1G08280	342	252
AT1G08290	58	34
AT1G08300	50	28
AT1G08310	130	72
AT1G08315	354	367
AT1G04647	17	17
AT1G08320	1084	1062
AT1G04653	0	0
AT1G08340	513	469
AT1G08350	334	255
AT1G08360	5241	3541
AT1G08370	809	653
AT1G08380	214	1124
AT1G08390	23	29
AT1G08400	186	135
AT1G08410	387	201
AT1G08420	1520	1194
AT1G08430	1704	1963
AT1G08440	6	6
AT1G08450	1000	697
AT1G08460	419	345
AT1G08465	0	6
AT1G08470	365	331
AT1G08480	1513	1202
AT1G08490	376	272
AT1G08500	301	214
AT1G08510	2954	2542
AT1G08520	430	402
AT1G08530	160	99
AT1G08540	216	247
AT1G08550	66	82
AT1G08560	515	414
AT1G08570	752	881
AT1G08580	446	266
AT1G08590	1353	960
AT1G08592	90	68
AT1G08600	1146	811
AT1G08610	72	56
AT1G04657	0	0
AT1G08620	922	836
AT1G08630	2	5
AT1G08640	265	211
AT1G08645	2	8
AT1G08650	1780	1667
AT1G08660	739	457
AT1G08670	287	304
